Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
0;49.809598;19.052732;0;351
1;49.80904176;19.05382704;0.1;323
2;49.80848551;19.05492205;0.2;331
3;49.80792925;19.05601704;0.3;323
4;49.80737298;19.057112;0.4;328
5;49.80681669;19.05820694;0.5;333
6;49.8062604;19.05930186;0.6;334
7;49.8057041;19.06039674;0.7;362
8;49.80514779;19.06149161;0.8;351
9;49.80459146;19.06258644;0.9;359
10;49.80403513;19.06368126;1;356
11;49.80347879;19.06477604;1.1;346
12;49.80292243;19.06587081;1.2;345
13;49.80236607;19.06696554;1.3;347
14;49.80180969;19.06806025;1.4;344
15;49.80125331;19.06915494;1.5;348
16;49.80069691;19.0702496;1.6;359
17;49.80014051;19.07134424;1.7;344
18;49.79958409;19.07243885;1.8;352
19;49.79902766;19.07353344;1.9;354
20;49.79847123;19.074628;2;357
21;49.79791478;19.07572253;2.1;377
22;49.79735832;19.07681704;2.2;372
23;49.79680186;19.07791153;2.3;379
24;49.79624538;19.07900599;2.4;393
25;49.79568889;19.08010042;2.5;400
26;49.79513239;19.08119483;2.6;397
27;49.79457588;19.08228922;2.7;407
28;49.79401936;19.08338358;2.8;418
29;49.79346284;19.08447791;2.9;427
30;49.7929063;19.08557222;3;420
31;49.79234975;19.08666651;3.1;417
32;49.79179319;19.08776076;3.2;457
33;49.79123661;19.088855;3.3;478
34;49.79068003;19.08994921;3.4;503
35;49.79012344;19.09104339;3.5;531
36;49.78956684;19.09213755;3.6;563
37;49.78901023;19.09323168;3.7;597
38;49.78845361;19.09432579;3.8;611
39;49.78789698;19.09541987;3.9;623
40;49.78734033;19.09651393;4;604
41;49.78678368;19.09760796;4.1;580
42;49.78622702;19.09870197;4.2;588
43;49.78567034;19.09979595;4.3;587
44;49.78511366;19.10088991;4.4;573
45;49.78455696;19.10198384;4.5;553
46;49.78400026;19.10307775;4.6;546
47;49.78344355;19.10417163;4.7;564
48;49.78288682;19.10526549;4.8;586
49;49.78233009;19.10635932;4.9;611
50;49.78177334;19.10745313;5;600
51;49.78121658;19.10854691;5.1;622
52;49.78065982;19.10964066;5.2;641
53;49.78010304;19.11073439;5.3;683
54;49.77954625;19.1118281;5.4;726
55;49.77898946;19.11292178;5.5;740
56;49.77843265;19.11401544;5.6;783
57;49.77787583;19.11510907;5.7;788
58;49.777319;19.11620267;5.8;790
59;49.77676217;19.11729625;5.9;799
60;49.77620532;19.11838981;6;794
61;49.77564846;19.11948334;6.1;773
62;49.77509159;19.12057684;6.2;779
63;49.77453471;19.12167032;6.3;764
64;49.77397782;19.12276378;6.4;745
65;49.77342092;19.12385721;6.5;750
66;49.77286401;19.12495061;6.6;772
67;49.77230709;19.12604399;6.7;781
68;49.77175016;19.12713734;6.8;773
69;49.77119322;19.12823067;6.9;782
70;49.77063627;19.12932398;7;788
71;49.7700793;19.13041725;7.1;799
72;49.76952233;19.13151051;7.2;801
73;49.76896535;19.13260374;7.3;787
74;49.76840836;19.13369694;7.4;794
75;49.76785135;19.13479012;7.5;797
76;49.76729434;19.13588327;7.6;763
77;49.76673732;19.1369764;7.7;771
78;49.76618028;19.1380695;7.8;766
79;49.76562324;19.13916258;7.9;755
80;49.76506619;19.14025563;8;770
81;49.76450912;19.14134866;8.1;758
82;49.76395205;19.14244166;8.2;770
83;49.76339496;19.14353464;8.3;761
84;49.76283787;19.14462759;8.4;748
85;49.76228076;19.14572052;8.5;728
86;49.76172364;19.14681342;8.6;720
87;49.76116652;19.1479063;8.7;683
88;49.76060938;19.14899915;8.8;667
89;49.76005223;19.15009197;8.9;656
90;49.75949508;19.15118477;9;638
91;49.75893791;19.15227755;9.1;635
92;49.75838073;19.1533703;9.2;639
93;49.75782354;19.15446303;9.3;649
94;49.75726635;19.15555573;9.4;623
95;49.75670914;19.1566484;9.5;608
96;49.75615192;19.15774105;9.6;604
97;49.75559469;19.15883368;9.7;607
98;49.75503745;19.15992628;9.8;594
99;49.7544802;19.16101886;9.9;602
100;49.75392294;19.16211141;10;618
101;49.75336567;19.16320393;10.1;583
102;49.75280839;19.16429643;10.2;573
103;49.7522511;19.16538891;10.3;570
104;49.7516938;19.16648136;10.4;580
105;49.75113649;19.16757378;10.5;586
106;49.75057917;19.16866618;10.6;586
107;49.75002183;19.16975856;10.7;590
108;49.74946449;19.1708509;10.8;590
109;49.74890714;19.17194323;10.9;605
110;49.74834978;19.17303553;11;576
111;49.7477924;19.1741278;11.1;568
112;49.74723502;19.17522005;11.2;579
113;49.74667763;19.17631227;11.3;601
114;49.74612022;19.17740447;11.4;608
115;49.74556281;19.17849665;11.5;586
116;49.74500539;19.1795888;11.6;565
117;49.74444795;19.18068092;11.7;546
118;49.74389051;19.18177302;11.8;545
119;49.74333305;19.18286509;11.9;563
120;49.74277559;19.18395714;12;559
121;49.74221811;19.18504916;12.1;556
122;49.74166063;19.18614116;12.2;559
123;49.74110313;19.18723313;12.3;581
124;49.74054562;19.18832508;12.4;580
125;49.73998811;19.189417;12.5;566
126;49.73943058;19.1905089;12.6;549
127;49.73887304;19.19160077;12.7;518
128;49.7383155;19.19269262;12.8;515
129;49.73775794;19.19378444;12.9;502
130;49.73720037;19.19487624;13;508
131;49.73664279;19.19596801;13.1;483
132;49.7360852;19.19705976;13.2;468
133;49.7355276;19.19815148;13.3;471
134;49.73497;19.19924318;13.4;463
135;49.73441238;19.20033485;13.5;444
136;49.73385475;19.2014265;13.6;414
137;49.73329711;19.20251812;13.7;319
138;49.73273946;19.20360972;13.8;319
139;49.7321818;19.20470129;13.9;319
140;49.73162413;19.20579283;14;319
141;49.73106645;19.20688435;14.1;319
142;49.73050876;19.20797585;14.2;319
143;49.72995105;19.20906732;14.3;319
144;49.72939334;19.21015877;14.4;319
145;49.72883562;19.21125019;14.5;319
146;49.72827789;19.21234159;14.6;319
147;49.72772015;19.21343296;14.7;319
148;49.72716239;19.2145243;14.8;319
149;49.72660463;19.21561562;14.9;319
150;49.72604686;19.21670692;15;319
151;49.72548908;19.21779819;15.1;319
152;49.72493128;19.21888943;15.2;319
153;49.72437348;19.21998065;15.3;319
154;49.72381566;19.22107185;15.4;319
155;49.72325784;19.22216302;15.5;319
156;49.72270001;19.22325416;15.6;319
157;49.72214216;19.22434528;15.7;319
158;49.72158431;19.22543638;15.8;319
159;49.72102644;19.22652745;15.9;319
160;49.72046856;19.22761849;16;319
161;49.71991068;19.22870951;16.1;319
162;49.71935278;19.22980051;16.2;319
163;49.71879488;19.23089148;16.3;319
164;49.71823696;19.23198242;16.4;324
165;49.71767903;19.23307334;16.5;318
166;49.7171211;19.23416424;16.6;303
167;49.71656315;19.23525511;16.7;329
168;49.71600519;19.23634595;16.8;331
169;49.71544722;19.23743677;16.9;323
170;49.71488925;19.23852756;17;335
171;49.71433126;19.23961833;17.1;333
172;49.71377326;19.24070908;17.2;333
173;49.71321525;19.2417998;17.3;336
174;49.71265723;19.24289049;17.4;348
175;49.7120992;19.24398116;17.5;338
176;49.71154116;19.2450718;17.6;340
177;49.71098311;19.24616242;17.7;343
178;49.71042505;19.24725302;17.8;340
179;49.70986698;19.24834358;17.9;343
180;49.7093089;19.24943413;18;348
181;49.70875081;19.25052465;18.1;354
182;49.70819271;19.25161514;18.2;346
183;49.7076346;19.25270561;18.3;346
184;49.70707648;19.25379605;18.4;350
185;49.70651835;19.25488647;18.5;354
186;49.70596021;19.25597686;18.6;353
187;49.70540205;19.25706723;18.7;364
188;49.70484389;19.25815757;18.8;371
189;49.70428572;19.25924789;18.9;384
190;49.70372754;19.26033818;19;390
191;49.70316934;19.26142845;19.1;403
192;49.70261114;19.2625187;19.2;413
193;49.70205293;19.26360891;19.3;410
194;49.7014947;19.26469911;19.4;402
195;49.70093647;19.26578927;19.5;399
196;49.70037823;19.26687942;19.6;403
197;49.69981997;19.26796953;19.7;393
198;49.69926171;19.26905963;19.8;396
199;49.699071;19.269432;19.83416;395
